,text,dominant_topics,dominant_topics_words
3314,"Traditional, expansive museum.
Many, many visitors...",[],
3315,A great museum for kids,[13],"city, mexico, center, beautiful, historic"
3316,"On a scorching sunny day or a bitterly cold winter noon, if you want to keep the kids engaged or a learn a bit of different civilizations, explore the unknown skies or dive deep into oceanic floors, this is your place to learn all of this and more.
The best part of it is friendly staff, curators and the endless treasure trove of knowledge they have and share is incredible!","[0, 7, 14]","good, beautiful, place, eat, service, food, service, bad, tacos, order, service, fast, delicious, food, good"
3317,"I had lunch at the tower with a reservation at the restaurant. This way you don't have to pay an entrance fee, there's no line, and the restaurant revolves. While seated, I saw all 360 degrees of the tower's view. However, there was a minimum consumption requirement at the restaurant! But it was worth it.",[6],"nice, great, amazing, place, food"
3318,Take the stairs elevator is sketchy,[0],"good, beautiful, place, eat, service"
3319,"This is the landmark telecommunications tower and tourist attraction in the city centre of Toronto. It was constructed between 1973-75 and at 553 metres in height was the tallest freestanding structure in the world until 2007. The CN Tower dominates the Toronto skyline and can be viewed fairly well throughout the city.

Visitors have sightseeing and dining opportunities at the CN Tower. The Observation level is open from 9am to 11pm daily. Timed tickets start at CND$45 per adult and can be reserved online in advance or purchased on the day at the ticketing office. Adventure travellers can also try the Edgewalk attraction while diners have several eatery options including a sit down restaurant with 360 degree views of the city. The restaurant opening hours are 11.30am to 3pm (lunch) and 4.30pm to 10pm (dinner) daily.","[0, 6, 14]","good, beautiful, place, eat, service, nice, great, amazing, place, food, service, fast, delicious, food, good"
3320,I loved your service it really came on time,"[9, 10]","toos, house, super, serve, quickly, pretty, negative, cdmx, delivery, positive"
3321,Great. Very nice view of Toronto and Lake Ontario.,"[5, 13]","closed, interesting, noisy, horrible, favorite, city, mexico, center, beautiful, historic"
3322,"They serve you super quickly, everyone is very friendly and it doesn't take long to pass by, I went with friends, my favorite dish is chilaquiles, I really like their sauce and the pozole is very good too, the space is large","[5, 7]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order"
3323,Always Good,[2],"family, experience, place, best, nice"
3324,"We went around noon and the service was quite fast, the food was delicious and the attention was present at all times, the toilets are located upstairs and there is parking at a considerable cost, what I do recommend is that they lower the intensity of their air conditioning a little.","[0, 6]","good, beautiful, place, eat, service, nice, great, amazing, place, food"
3325,Ame,[],
3326,Good service,"[2, 9]","family, experience, place, best, nice, toos, house, super, serve, quickly"
3327,Good service and food.,"[2, 8, 9]","family, experience, place, best, nice, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3328,"The attention is good.
The staff very attentive and active.
And the main thing is that the place is very clean for a very busy restaurant.","[0, 2, 5]","good, beautiful, place, eat, service, family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3329,"I loved that the staff is super friendly and attentive, the captains are aware that your service is adequate ððððð super attentive ððððð

Note .the bathrooms......","[0, 9]","good, beautiful, place, eat, service, toos, house, super, serve, quickly"
3330,"The food is good, or more or less good, the service is fast, but they are so fast that they make you eat like races, when it was finished they almost forced me to get up from the table, it was so annoying and so rude, anyway they I give a zero rating.","[2, 7, 9]","family, experience, place, best, nice, food, service, bad, tacos, order, toos, house, super, serve, quickly"
3331,Takeaway only,[],
3332,"Very delicious and fast, but they tend to make mistakes in small details, like adding cheese when it's not there, etc.","[7, 10, 11]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive, excellent, service, place, attention, station"
3333,"We placed an order through the app. The delivery man didn't have change, he said he was coming back and of course he stole more than $300 pesos. They got away saying that the terms and conditions say they can keep your change. Ra te ros",[],
3334,"The wait is too long, they should look to expand the place.","[0, 4, 7]","good, beautiful, place, eat, service, parking, de, casa, dishes, good, food, service, bad, tacos, order"
3335,Too many people,[],
3336,Average service,[9],"toos, house, super, serve, quickly"
3337,Gave me cancer,[],
3338,"Good and fast service, there are no very long waits unless there are several previous orders.
Everything was fine in the place but there was a lot of smell of herbs that were not exactly oregano. The smell was quite noticeable from the sidewalk to the interior of the store, I don't know if it was inside or the various delivery people who are waiting.",[6],"nice, great, amazing, place, food"
3339,"I ordered some separate flautas through Uber Eats, with cream, cheese and lettuce, and guacamole sauce. They sent me the spicy green sauce (I don't eat spicy), they didn't send me the forks I requested or the cream or the cheese, and the coke they sent me was all hot. I filed my claim with Uber Eats but I still feel that they should pay close attention to the fulfillment of their orders! It was much better when they were allied with Rappi!!","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
3340,"Me
They like golden tacos",[7],"food, service, bad, tacos, order"
3341,The place is beautiful,"[0, 3, 4]","good, beautiful, place, eat, service, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
3342,Very pretty but very dirty on the outside,[5],"closed, interesting, noisy, horrible, favorite"
3343,"The Palace of Fine Arts is one of those places that always impresses me, no matter how many times I visit. From the outside, its architecture is imposing, with that mix of white marble and details that make it unique in the city. Inside, murals by artists like Diego Rivera and Siqueiros give it an enormous cultural power, and every corner seems to tell a part of Mexico's history. What I enjoy most is that it's not just a museum; it's also a living space that hosts concerts, operas, and various shows. Being there gives me a sense of pride and connection to the culture, because it represents the best of Mexican art and creativity.","[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
3344,Excellence of excellence,[14],"service, fast, delicious, food, good"
3345,Beautiful as always and I got to go to an opera for free.,"[3, 7]","beautiful, cathedral, history, incredible, many, food, service, bad, tacos, order"
3346,"Beautiful place with a great history, very friendly staff and guides ð¯","[3, 4, 5, 13]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, city, mexico, center, beautiful, historic"
3347,"Beautiful Palace of Fine Arts, very clean place, lots of security and staff that guides you very well throughout.","[3, 5, 14]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
3348,"I liked that it was a large place with few people, so I felt the waiters were less pressured. The only thing I didn't like was that it was too noisy and you couldn't really talk, but it was definitely worth going.","[6, 10]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive"
3349,"Good flavor, quick service and they are very attentive.","[2, 5, 9]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
3350,"I want a pozole to enjoy at home and now they already condition you that in order to sell it to you they do not give you a basic container of $12 pesos that now you have to purchase the one of $23 pesos to be able to sell it to you, justifying that only that container is for delivery in applications",[7],"food, service, bad, tacos, order"
3351,soooo delicious and the service is always attentive,"[0, 9, 11]","good, beautiful, place, eat, service, toos, house, super, serve, quickly, excellent, service, place, attention, station"
3352,"The music is too loud. I can't hear anything, and I can't talk.

The coffee in the packet is burnt. We tried the cappuccino and the hot pot, and both tasted awful.",[0],"good, beautiful, place, eat, service"
3353,"Good service, good attention from the moment you arrive and the food tastes good","[2, 8]","family, experience, place, best, nice, place, wonderful, visit, castle, great"
3354,This time the pozole was not as good.,"[2, 6]","family, experience, place, best, nice, nice, great, amazing, place, food"
3355,"The staff raffle is the one, you just have to consider that during peak hours you have to wait but even so the service is agile and the taste is good unlike many branches","[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
3356,"That place has kept me fed for the last month, their food is delicious and has an excellent price, the only thing I dislike is that they have the waiters working at a superhuman level.",[0],"good, beautiful, place, eat, service"
3357,"I honestly did not expect the quality and speed of this establishment, but it was a pleasant surprise, especially for the breakfasts and regular food at affordable prices. Totally recommended ð¤ð¼",[6],"nice, great, amazing, place, food"
3358,Very good service,"[2, 5, 9]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
3359,"The place is small compared to other branches, but I didn't have to wait in line to get in.
The place is quiet, and the service was very good.
The facilities were clean.
There is parking.","[0, 4]","good, beautiful, place, eat, service, parking, de, casa, dishes, good"
3360,"They don't allow motorcycles to park on THE STREET, which is no longer the limit of their restaurant, and they have reserved spaces. That's illegal!",[7],"food, service, bad, tacos, order"
3361,"Good place, that pozole is delicious and good service, thank you.","[2, 4, 9, 11]","family, experience, place, best, nice, parking, de, casa, dishes, good, toos, house, super, serve, quickly, excellent, service, place, attention, station"
3362,Excellent service,"[1, 9]","love, recommended, highly, expensive, fine, toos, house, super, serve, quickly"
3363,I give the food a 4 because the quality has dropped a bit. I ordered pozole de masa and it had a lot of skin.,"[8, 10]","place, wonderful, visit, castle, great, pretty, negative, cdmx, delivery, positive"
3364,Highly recommended,[],
3365,"It's always an option, it's a guarantee, the food is very good in terms of cost and benefits, very friendly staff, you can always see that they put a lot of energy into it.","[5, 10, 14]","closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
3366,Excellent service and food. Highly recommended.,"[1, 8, 9]","love, recommended, highly, expensive, fine, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3367,"All the tables were waiting for food, and it took a long time to deliver the food, and the orders arrived incorrectly. The waiters were disorganized, and the atmosphere was just plain stressful.","[6, 8]","nice, great, amazing, place, food, place, wonderful, visit, castle, great"
3368,"I ordered chicken pozole and they gave me a pollock one. My son had a green juice and they gave him orange juice. The food arrived cold. It's not the same anymore, except for the stressful atmosphere.",[],
3369,"Today I came to eat and it is always good, but today they gave me a reheated pozole, that is not the problem, the problem is that it was very salty, they changed it for some flautas. But it's empty and the insistence is too much, they brought me the bill twice without me asking, it's serious! I was on a call and they interrupted me. Don't hire kids who have no idea about the rules of civility","[7, 10]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
3370,"Very large space between tables, ideal for going with children and older adults.",[],
3371,"It's a small branch, which makes for a long wait. The two times I've been there, there's always been a mess with the order, and they bring and ask if someone ordered X or Y, something that no one else ordered. The staff is friendly and they're happy to change out the wrong dishes, but the mess is noticeable compared to other branches. The food is delicious, as always, without losing its seasoning and flavor.","[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
3372,"The pozole was always very good, but the coffee was very bad, with a chlorine taste, not recommended...","[2, 5, 6]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food"
3373,Good location and excellent service.,"[1, 2, 9]","love, recommended, highly, expensive, fine, family, experience, place, best, nice, toos, house, super, serve, quickly"
3374,"The food and service were very good, although I arrived late and it was as if the pozole was already from the day before, I preferred the flautas","[2, 6]","family, experience, place, best, nice, nice, great, amazing, place, food"
3375,Very tasty food and very fast service,"[5, 8, 9]","closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3376,Very tasty and we didn't wait long to go in and eat.,"[5, 7]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order"
3377,"The breakfast here is very delicious and the price is affordable, except that there are a lot of people and you have to wait your turn.","[0, 7, 11]","good, beautiful, place, eat, service, food, service, bad, tacos, order, excellent, service, place, attention, station"
3378,Very good,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3379,"One of the many ToÃ±o houses, generic and compliant, it is not the most sublime experience you will have, but it does not disappoint!!",[10],"pretty, negative, cdmx, delivery, positive"
3380,All good,[2],"family, experience, place, best, nice"
3381,"Good typical Mexican food, good price quality and excellent service.","[1, 2, 8]","love, recommended, highly, expensive, fine, family, experience, place, best, nice, place, wonderful, visit, castle, great"
3382,"Excellent service, everyone very friendly as always, very good staff","[1, 2, 5]","love, recommended, highly, expensive, fine, family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3383,Good food,"[2, 8]","family, experience, place, best, nice, place, wonderful, visit, castle, great"
3384,"The food is delicious, the service is fast and very attentive.","[0, 5, 8, 9, 11]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great, toos, house, super, serve, quickly, excellent, service, place, attention, station"
3385,Excellent service,"[1, 9]","love, recommended, highly, expensive, fine, toos, house, super, serve, quickly"
3386,"Okay, what bothers me is that you're just finishing eating and they take your plate away, they leave you with the spoon in your hand and the bite in your mouth and they take the plate away, that's annoying to me",[7],"food, service, bad, tacos, order"
3387,"It's a place that's crowded, and I don't know why. I've been there twice (the second time, to give them the benefit of the doubt), and I didn't like it at all. The pozole, which is their strong suit, was awful, and the other food I ate was also awful, and everything was expensive, so the price/quality ratio is poor. I won't be back.",[6],"nice, great, amazing, place, food"
3388,"The experience at the Mixcoac branch left mixed feelings.

The food, particularly the flautas with melted cheese, was disappointing: the cheese had a plasticky texture and the overall taste was bland, earning only two stars.

In contrast, the service was excellent: the staff was very friendly and efficient.

The atmosphere meets expectations of a fast-food restaurant: clean and functional. Ideal if you're looking for speed and good service, but not if you're looking for authentic flavor.",[6],"nice, great, amazing, place, food"
3389,"The food is so-so, and its quality is already declining. In my opinion, it's an establishment that doesn't focus on food, but rather on speed (for some, that's what they're looking for). Perhaps others of us are looking for a place with delicious food, which Casa ToÃ±o failed us on.",[8],"place, wonderful, visit, castle, great"
3390,"The service provided to diners is friendly, quick, and very efficient. Many thanks to all the staff.",[],
3391,It's just fine,[10],"pretty, negative, cdmx, delivery, positive"
3392,"I really don't know how, but the pozole tastes different. It's not that it's bad, it just doesn't taste the same, but other than that, it's very good.",[10],"pretty, negative, cdmx, delivery, positive"
3393,"Exactly the same as all of ToÃ±o's houses, as always good quality, service and speed",[2],"family, experience, place, best, nice"
3394,"It's a must when visiting toronto, enjoy the view",[10],"pretty, negative, cdmx, delivery, positive"
3395,It is a very special experience for those who like heights and seeing the whole city.,"[5, 10]","closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
3396,Amazing views and lots of fun.,[14],"service, fast, delicious, food, good"
3397,"this was our first time visiting the 360 Restaurant at the CN Tower, with some friends. Overall, we had a fantastic experience. The ambiance and the food were amazing, and the view was absolutely stunning. However, we were surprised by the tipping expectations. Our bill was $420, and we left a $30 tip in cash, but the server mentioned it was too low and that he would lose money from his pocket because of it. This was a bit confusing for us, but the overall experience was memorable, and Iâd definitely recommend it for the view and the food!",[6],"nice, great, amazing, place, food"
3398,"A great experience! If you're ever in Toronto, this tour is a must. The view is fantastic.
A quick note: the queue outside is better organized.
As with our French tourist attractions, it's sad to see the lack of civility among tourists.","[0, 13]","good, beautiful, place, eat, service, city, mexico, center, beautiful, historic"
3399,Enjoyed food at the top,[8],"place, wonderful, visit, castle, great"
3400,Super cool experience!,[],
3401,Fast service and good food,"[2, 8, 9]","family, experience, place, best, nice, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3402,Good service. Good attention.,"[2, 9]","family, experience, place, best, nice, toos, house, super, serve, quickly"
3403,Excellent service and food with very good portions,"[1, 2, 5, 8, 9]","love, recommended, highly, expensive, fine, family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3404,"It was the best experience I could have had, everyone is super friendly, from the person who greets you to the waiter and the captain, all very attentive to your needs, the food was super delicious, everything we ordered was highly recommended, the drink and everything was super good. If I could give it more points, I would.","[6, 12]","nice, great, amazing, place, food, hotel, location, view, staff, great"
3405,Soooo rich,[],
3406,"It is an excellent and delicious place to have breakfast, lunch or dinner. All the dishes are very tasty and the prices are completely accessible.",[11],"excellent, service, place, attention, station"
3407,"It is one of the best Casa ToÃ±o, very spacious, there is almost no wait, separate separate takeout, which facilitates good service, especially the characteristic flavor.",[],
3408,The people who serve you are very friendly. We really liked the food and the experience eating here,"[5, 8]","closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great"
3409,"The food is good, but the service not so much, they are so busy that they mix up the orders, they replace everything without a problem, but it is annoying to try what you didn't order","[7, 12]","food, service, bad, tacos, order, hotel, location, view, staff, great"
3410,They maintain all the essence of the brand and the fact that the tables are not so stacked stands out.,[0],"good, beautiful, place, eat, service"
3411,I love food,[8],"place, wonderful, visit, castle, great"
3412,Very good service,"[2, 5, 9]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
3413,"I really liked going to eat the Meat Flautas, but I was disappointed this last time, since the meat had no flavor, nothing like the previous times when the meat was shredded and with a fresh flavor (on this occasion the meat felt flavorless and super minced like mincemeat). I hope they return to the quality of before and not to save on poor quality or leftovers.",[6],"nice, great, amazing, place, food"
3414,"And it seems that the service, by not having a waiter assigned to your table, there is a lot of confusion, the service is fast but it has its details","[9, 10]","toos, house, super, serve, quickly, pretty, negative, cdmx, delivery, positive"
3415,"Excellent service, very attentive, friendly, very fast service","[1, 5, 9]","love, recommended, highly, expensive, fine, closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
3416,"The food is delicious, however every time I order on their app their service is poor because they always send me the incomplete order
I previously ordered a package with flan and the flan did not arrive
Later they did not send me the condiments
Yesterday I ordered 3 combos of which all included Coca Cola and they only sent us 1 of 3, I filed the report and their response was that the brand would contact me and nothing
I do not recommend ordering through the application since the order does not arrive complete",[7],"food, service, bad, tacos, order"
3417,"Very good food but I don't like that they exploit their employees, they should give them food and be more empathetic with them","[7, 8]","food, service, bad, tacos, order, place, wonderful, visit, castle, great"
3418,The best pozole in the city,"[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
3419,"I'm a fan!!
I love Casa ToÃ±ito",[],
3420,Very good truth,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3421,Tasty and cheap,[],
3422,"The food is very delicious.
I like it. You have to wait for a place to eat.","[4, 5, 7, 8, 10, 11]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order, place, wonderful, visit, castle, great, pretty, negative, cdmx, delivery, positive, excellent, service, place, attention, station"
3423,The pata toast is amazing!,[0],"good, beautiful, place, eat, service"
3424,The best,[0],"good, beautiful, place, eat, service"
3425,"Highly recommend the pozole!
The quesadillas, everything in general, is delicious. Affordable prices, the staff is super attentive and very friendly!","[0, 11, 12]","good, beautiful, place, eat, service, excellent, service, place, attention, station, hotel, location, view, staff, great"
3426,"The collections are diverse and impressive, and the building itself is stunning. I recommend planning at least 5 hours for the visit because itâs really big and thereâs so much to see.",[],
3427,"It is recommended to visit it, but it will take you a long time to visit all the sections, but it is enjoyable.",[10],"pretty, negative, cdmx, delivery, positive"
3428,Loved it. It was extremely busy. The Auschwitz Exhibit was phenomenal.,"[6, 10]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive"
3429,"A must-see. The permanent exhibitions are incredible and worth the visit alone. We were able to visit the exhibition on Auswitchz, it's a must.",[],
3430,"Walk a lot and amazing history to show country, dinosaurs, space, and animals",[],
3431,"Huge, world class museum. Endless programs, tours and events. Amazing ""permanent"" installations and a really amazing rotation of exhibits. Entry isn't cheap, but worth it. It would take multiple days to experience this place to the full extent

Stopped by again recently. The current exhibits they are running are amazing. Although under some renovations, there was no real impract to the visit.",[],
3432,"The best museum in Ontario. Massive museum with so much interesting stuff to look at, from animals to geography to historical artifacts. The museum is split into clear and easy to follow themes and there is often seasonal events that allow for even more to enjoy. Super fun museum where you could spend a whole day learning new things!",[7],"food, service, bad, tacos, order"
3433,"This museum is advertised as an art museum , but there is almost no paintings or sculptures so it is basically a history museum they also made me throw out my markers that I forgot to take out my backpack and didn't have any other option",[7],"food, service, bad, tacos, order"
3434,Very informative.  I only wish I had more time to visit.  Amazing place to visit,[4],"parking, de, casa, dishes, good"
3435,"Alhamdulillah,
Excited to share about the Royal Ontario Museum (ROM) in Toronto! ð¨ð¦

This is a special moment in my journey of exploring the worldâs history and culture.

Founded in 1914, the Royal Ontario Museum is one of North Americaâs largest museums, dedicated to natural history, world cultures, and art. Over the decades, ROM has become a hub for learning, research, and global heritage, attracting millions of visitors every year. Its Michael Lee-Chin Crystal, a modern architectural addition, beautifully blends contemporary design with historical elegance.

From the Australian art galleries that inspired creativity,
to the Hiroshima Peace Memorial that taught reflection and hope,
and the Auckland War Museum that honored bravery and history,
each visit has enriched my perspective.

Now, ROM adds a Canadian chapter with its amazing artifacts, dinosaur skeletons, and world cultures. Its treasures and iconic architecture make it a must-visit for anyone passionate about history and art.

Every museum I visit connects me more deeply to human creativity, resilience, and heritage.

Canât wait to explore and learn more!",[14],"service, fast, delicious, food, good"
3436,"Excellent for takeout orders, it's a delicious home-cooked ToÃ±o flavor and you can take the amount you need.","[7, 11]","food, service, bad, tacos, order, excellent, service, place, attention, station"
3437,"If you ever have the chance to stop by, go! Everything is great in terms of flavor, price, and quality!

I ordered some green chilaquiles with chicken, and I swear they were delicious.","[7, 12, 13]","food, service, bad, tacos, order, hotel, location, view, staff, great, city, mexico, center, beautiful, historic"
3438,Its a food chain and it felt like it. Food was almost less than meh ....service was great. Pretty crowded like fastfood place.,"[8, 10, 13]","place, wonderful, visit, castle, great, pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
3439,Sometimes orders take up to 45 minutes.,[],
3440,I requested my order from this branch through their app and the order never arrived and they didn't return the payment either. Terrible service.,[],
3441,Fast and clean,[9],"toos, house, super, serve, quickly"
3442,"Terrible delivery service. My order was flautas ahogadas and chilaquiles, and they didn't send the salsas, sour cream, or cheeseâbasically, tortilla chips and flautas. When I complained, the refund for the entire order was only 37 pesos (I wouldn't have dreamed of paying that much) because the only thing missing were the salsas...
They no longer answer their customer service number.",[6],"nice, great, amazing, place, food"
3443,"The great thing about this branch is that they're super quick to serve you, regardless of the number of orders they have, which is usually quite a lot.

So, it's all about the staff: great service, great work.","[7, 13]","food, service, bad, tacos, order, city, mexico, center, beautiful, historic"
3444,It's delicious,"[10, 11]","pretty, negative, cdmx, delivery, positive, excellent, service, place, attention, station"
3445,"The food is delicious, the service is very friendly and attentive, they are always attentive to the customer, I always recommend the place for the price, service, and flavor.","[0, 9, 11]","good, beautiful, place, eat, service, toos, house, super, serve, quickly, excellent, service, place, attention, station"
3446,"The service is appalling. I made a mistake on my order, and there's no way to modify it or receive a refund. They didn't even look into a solution. They also didn't have enough cutlery to eat. I won't be back again.",[7],"food, service, bad, tacos, order"
3447,The food is very delicious,"[0, 5, 8, 11]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great, excellent, service, place, attention, station"
3448,Very good professional and timely attention,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3449,"The food is always delicious, the service is excellent, and the staff is friendly and attentive. The only thing is that it's always packed with app drivers, and they invade one lane and the sidewalk.","[0, 11]","good, beautiful, place, eat, service, excellent, service, place, attention, station"
3450,"I was disappointed by how slow the service was the last few times I went. I consider friendly and fast service one of their strengths; I didn't get that the last time I went. The food was good as always.
I went back to see if it improved; it's much worse. It took me almost half an hour to get a quesadilla. I'll give it another star after it was one of my favorites; even the pozole has a smaller portion. Disappointing ð","[6, 10]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive"
3451,Chilaquiles with chicken ð,[],
3452,The volume of the music is annoying in any of its branches.,"[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
3453,"The staff lacks training, starting with captains who become balls",[],
3454,Well ???,[],
3455,I loved excellent service,"[1, 9]","love, recommended, highly, expensive, fine, toos, house, super, serve, quickly"
3456,"The food is always good at ToÃ±o's, but at this location, the servers, in my opinion, need training, so they often forgot things or were very distracted. But overall, ToÃ±o's is always a guarantee of good food.","[2, 8]","family, experience, place, best, nice, place, wonderful, visit, castle, great"
3457,Very pleasant service and the manager was very attentive.,"[5, 6, 9]","closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food, toos, house, super, serve, quickly"
3458,"A highly recommended place to go eat, 5 stars out of 5",[4],"parking, de, casa, dishes, good"
3459,"They are a little distracted, because they don't follow the order well, so you have to be attentive and remind them if the order is not complete.",[7],"food, service, bad, tacos, order"
3460,"Meets expectations, good food and service","[2, 8, 9]","family, experience, place, best, nice, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3461,Highly recommended.,[],
3462,"It's always cool, you can't lose.","[7, 10]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
3463,"Excellent place to go eat with your family or with your partner, the service is 10/10","[1, 4]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
3464,"Salty pozole
Boring atmosphere",[],
3465,"I bought it to go and it had excellent service. The service is great for eating there, but they don't pay attention to which table the dish they're bringing is for.","[7, 9, 10, 13]","food, service, bad, tacos, order, toos, house, super, serve, quickly, pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
3466,"today
I really enjoyed the food, well prepared and good seasoning.
La Casa de ToÃ±o is a place where you can count on eating well most of the time",[],
3467,"Very good place, the only drawback of that Casa de ToÃ±o is that the parking lot is small and fills up very quickly.","[0, 2, 5]","good, beautiful, place, eat, service, family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3468,"Terrible service, it took a long time to bring us the food, the waiters passed by and ignored us, very bad service",[9],"toos, house, super, serve, quickly"
3469,My lemonade jar was dirty ð« ,[6],"nice, great, amazing, place, food"
3470,"I loved the place, the food and especially the speed of the service.","[0, 4, 8, 9]","good, beautiful, place, eat, service, parking, de, casa, dishes, good, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3471,"Good flavor of food, Mexican cravings, good cooking.  Efficient service","[2, 8, 9]","family, experience, place, best, nice, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3472,Good place to eat quickly at a good price and good taste,"[2, 4]","family, experience, place, best, nice, parking, de, casa, dishes, good"
3473,"Very bad place, I ordered food at home and my order was incomplete, it came wrong and they also overcharged me. I wanted to provide a solution and their response was, we cannot refund your money or replace your order due to our terms and conditions. Don't buy.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
3474,"The food is cheap and the presentation is simple. When I've gone, the coffee is usually lukewarm and doesn't taste very good.
The service is fast and attentive from the waiters.
To go from time to time it's fine, nothing special.","[0, 9]","good, beautiful, place, eat, service, toos, house, super, serve, quickly"
3475,Everything was excellent!,"[1, 6, 12]","love, recommended, highly, expensive, fine, nice, great, amazing, place, food, hotel, location, view, staff, great"
3476,Good service,"[2, 9]","family, experience, place, best, nice, toos, house, super, serve, quickly"
3477,Having some very delicious Mexican eggs in a package for breakfast and very good service,"[2, 5, 11]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, excellent, service, place, attention, station"
3478,It's a great place to have breakfast or lunch if you want some comfort or to celebrate something.,"[4, 7, 13]","parking, de, casa, dishes, good, food, service, bad, tacos, order, city, mexico, center, beautiful, historic"
3479,I love the quesadillas here ðð´,[],
3480,For me it adjusts to the work schedules I have.,"[7, 10]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
3481,"Very tasty, quick entry, good franchise","[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3482,Many people always,[],
3483,Very bad,[5],"closed, interesting, noisy, horrible, favorite"
3484,Everything is fine. General,[12],"hotel, location, view, staff, great"
3485,Excellent service,"[1, 9]","love, recommended, highly, expensive, fine, toos, house, super, serve, quickly"
3486,There is a line but once they serve you it's great.,"[7, 10, 13]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
3487,"I didn't like it, no seasoning at all.",[10],"pretty, negative, cdmx, delivery, positive"
3488,"Noisy, disorganized, make mistakes",[],
3489,Excellent restaurant,[1],"love, recommended, highly, expensive, fine"
3490,"The smell they leave on the tables when ""cleaning"" them is horrible, it smells like a poorly washed glass and is uncomfortable when consuming the food ð¤®
Plus they no longer give you sauces unless you ask for them.",[7],"food, service, bad, tacos, order"
3491,"All the staff are very attentive, from the moment the hostess welcomes you, until you ask for the bill.","[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
